2016/06/18 15:56:29 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:29 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:30 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:30 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:30 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:06 [error] 7#7: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:06 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:06 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:07 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:07 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:07 [error] 7#7: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:08 [error] 7#7: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:08 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:08 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:09 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:09 [error] 7#7: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:09 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:13 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:13 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:57:13 [error] 7#7: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:56 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:56 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:56 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:57 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:57 [error] 7#7: *51 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:59:57 [error] 7#7: *52 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:00:24 [error] 7#7: *52 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:00:24 [error] 7#7: *51 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:00:24 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:01:29 [error] 7#7: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:01:29 [error] 7#7: *50 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:01:30 [error] 7#7: *52 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:01:30 [error] 7#7: *50 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *69 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:26 [error] 7#7: *68 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:27 [error] 7#7: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:27 [error] 7#7: *69 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:27 [error] 7#7: *68 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:30 [error] 7#7: *68 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:30 [error] 7#7: *69 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:30 [error] 7#7: *70 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:41 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:41 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:41 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:42 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:42 [error] 6#6: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:42 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:43 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:43 [error] 6#6: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 16:05:43 [error] 6#6: *6 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
